,Rank,track_popularity,mood_danceability,mood_valence,mood_energy,mood_tempo
559,60,73,0.432,0.197,0.781,139.432
560,61,64,0.757,0.398,0.884,120.012
561,62,68,0.795,0.815,0.616,110.015
562,63,81,0.566,0.437,0.664,128.945
563,64,77,0.891,0.552,0.628,134.966
564,65,74,0.506,0.383,0.805,126.008
565,66,76,0.688,0.74,0.702,94.006
566,67,71,0.733,0.701,0.676,97.448
567,68,74,0.775,0.656,0.68,114.025
568,69,67,0.811,0.466,0.499,111.016
569,70,77,0.418,0.604,0.724,78.521
570,71,0,0.699,0.742,0.688,154.943
571,72,0,0.559,0.466,0.848,119.977
572,73,65,0.699,0.499,0.883,127.961
573,74,0,0.379,0.359,0.799,120.892
574,75,83,0.734,0.648,0.637,169.977
575,76,66,0.83,0.735,0.52,104.99
576,77,68,0.87,0.457,0.464,112.974
577,78,67,0.746,0.817,0.873,148.075
578,79,0,0.6,0.217,0.676,88.928
579,80,70,0.823,0.682,0.563,98.031
580,81,69,0.705,0.457,0.78,142.028
581,82,60,0.405,0.602,0.846,82.232
582,83,67,0.854,0.784,0.766,118.004
583,84,49,0.427,0.153,0.304,116.977
584,85,67,0.644,0.527,0.57,113.945
585,86,44,0.733,0.291,0.408,94.947
586,87,79,0.393,0.56,0.858,176.042
587,88,69,0.747,0.56,0.705,136.024
588,89,68,0.383,0.174,0.43,107.005
589,90,0,0.48,0.506,0.682,167.939
590,91,2,0.47,0.289,0.431,157.98
591,92,49,0.746,0.751,0.877,107.985
592,93,66,0.68,0.647,0.942,123.976
593,94,73,0.781,0.395,0.728,102.99
594,95,32,0.776,0.412,0.574,121.03
595,96,62,0.67,0.235,0.476,96.975
596,97,78,0.765,0.189,0.356,96.991
597,98,76,0.636,0.636,0.815,123.063
598,99,0,0.819,0.964,0.768,139.982
599,100,68,0.589,0.251,0.658,77.521
600,1,0,0.681,0.535,0.594,186.054
601,2,84,0.792,0.37,0.625,103.967
602,3,0,0.609,0.515,0.378,100.418
603,4,83,0.748,0.661,0.524,95.01
604,5,1,0.471,0.289,0.431,157.98
605,6,70,0.576,0.236,0.766,144.833
606,7,0,0.672,0.379,0.589,120.036
607,8,67,0.592,0.728,0.8,89.972
608,9,3,0.623,0.37,0.734,107.853
609,10,75,0.725,0.558,0.534,91.974
610,11,86,0.764,0.672,0.705,101.003
